mirID	PDAC001T	PDAC003T	PDAC004T	PDAC005T	PDAC006T	PDAC007T	PDAC008T	PDAC009T	PDAC032T	PDAC011T	PDAC012T	PDAC013T	PDAC014T	PDAC015T	PDAC017T	PDAC018T	PDAC019T	PDAC020T	PDAC021T	PDAC022T	PDAC023T	PDAC024T	PDAC025T	PDAC026T	PDAC027T	PDAC028T	PDAC029T	PDAC030T	PDAC031T
hsa-miR-126-5p	14.9027399424214	13.6874429514933	13.7303298176901	13.749916363475	14.2128636127442	14.1867261918486	14.5883385612503	12.6165190260328	13.7662446213841	14.2900246989169	14.282047601097	12.8023808276985	12.5076968709851	13.681940335924	13.6282374467682	14.3683328003563	14.6109039032372	14.2761665010211	12.5702571642983	13.8490606916346	12.4092977931368	13.7199454211814	13.9403422768396	15.0766616515905	14.7688700457899	15.6155261847778	15.3286247078801	13.3169313078517	12.8687867735452
hsa-miR-99a-5p	20.4760676272587	19.0448198927373	18.5123620139999	19.9192290915425	20.4391516483113	19.8143424783759	20.5835855032983	20.1389411804329	20.0393299000637	20.5293306167616	21.6963433142877	19.0647710774125	18.7477256344372	19.2807720267586	20.4180579190289	18.5848019179991	18.3897181570351	21.1215976142772	20.5563914538795	20.3384809230058	19.6434131971478	20.5093743182774	18.3651339584603	19.2341608637086	18.3309651275724	18.7125751188093	18.012904431252	19.7301779767025	18.3063964141432
hsa-miR-26b-5p	20.1131536953964	21.2323510833711	19.9124357023514	21.7346359780055	21.3660535178186	20.7990398087264	19.6134334863851	21.1768339627064	20.6597715302991	21.3031450697902	20.6518755300048	21.9389824288547	21.5047469730071	20.7615389078695	20.2514359009786	20.3602470028505	20.1951655359089	20.9228841052377	21.5482700017881	21.0798103629108	20.959276894759	20.4463297986149	20.505140291868	18.9961404820465	20.8520068357893	20.3508837571687	20.589804650876	21.4315390066607	20.43946178919
hsa-miR-23a-5p	5.8927441436733	6.62476161559657	4.09718485475315	5.31172412615312	4.15676910689986	4.62173520744616	4.90900870781082	3.35484282340127	6.18992199013317	4.24428791645566	6.74564761398881	5.87933427529067	4.80384594265964	5.99710022117865	5.36611972452163	5.83398087544877	4.84365726054862	6.07835382966894	5.66839005448698	5.33898488678036	6.86875464998345	6.68727969861153	5.81635769003754	6.50954185093768	6.09123830667425	7.06988644226234	6.39109409293481	5.13857524680435	5.02443500851779
hsa-let-7i-5p	20.7751148280096	20.1567406341654	20.401337916582	21.1246279499168	20.8112414046662	21.0350906690991	20.3684305496289	21.3639057729739	21.0429439469132	20.8454628162852	21.954065000276	21.1768837168588	21.066640835853	20.9097636082801	20.4911417103764	20.5272822384102	20.5059065466475	21.8940114290537	22.4366946403505	21.4425367054062	22.0403519118113	21.3885629423845	20.7101262780425	20.0039083849473	20.3972536608451	20.6175078186878	21.1681912618811	21.8350406463746	20.6010413377869
hsa-miR-21-5p	19.5964947774739	19.305603156249	18.4504125830692	18.5291012048803	19.4601197019006	19.0532606765698	18.9442472049241	19.5175675240408	19.5540639364844	19.6658202987506	18.2662664176179	18.4348974155894	17.7196565775516	19.698461127843	19.6800882440535	19.0955727974026	21.8317351870709	18.9506492233108	18.414013565177	18.7630883959978	18.1252478630797	17.9366792683252	18.7206217845333	19.7388808115655	20.5594974049619	20.6236038818662	20.3349558253385	19.0760820847989	18.1303148880519
hsa-miR-199a-5p	20.0122143360613	19.6425389507017	18.4865576106567	20.4952974284922	20.3409695462984	19.4676594503458	20.7348600528969	19.7834999422193	20.3540441267674	19.9898138323457	20.4183065373197	19.6774894131653	19.0341874700295	20.1901341418147	20.170493190646	18.6190610628234	16.8505091210351	20.6003623944259	21.2084430693736	20.680641755215	20.1225918550851	21.1408013808505	18.6603409901758	18.2859915068014	18.5755347293743	18.344322493404	18.4606240429964	19.8049684903773	18.4354994023108
hsa-miR-23b-5p	4.12300040019887	4.14295795384204	3.88877354439943	3.12256555151357	4.45424435517825	2.92293226153823	3.50058417986624	5.36390691446334	4.2569557924785	5.20571527360875	3.62176879798537	5.88193410829554	4.68511457891332	4.37649245516312	4.69054242184213	5.2376769358681	6.07089582850459	3.83939546283413	4.0996612588211	4.60986136387429	3.42879323457948	4.39745099818479	5.75436300607986	4.30170038398395	6.07181458869039	5.60239877172718	6.62710883836199	3.96978168908459	4.33396431744591
hsa-let-7g-5p	19.5802048583854	19.9290042833307	19.0597035165107	20.2853254999518	20.0848677531331	19.7580275706403	19.3521700777261	19.9918733676994	20.0951186616397	20.6256980206247	20.562565736054	19.1789439237037	19.8586768970703	20.0923339763388	20.0470695843561	19.8498486621735	19.3132822064568	20.7847106253774	19.6472071606065	20.3846102763896	19.9326526077499	19.5539999018264	20.1893763354755	19.7288779955147	19.9815624847742	20.0475933274839	20.035501498988	20.7934126106615	20.3869995710355
hsa-miR-10a-5p	18.0443600963407	16.4560188440107	16.7633098372892	18.6255315895335	18.7216387613142	19.222787771477	15.9141793166295	16.7215320607503	16.7372650875516	17.8712804605879	17.6775580616514	17.9699592094965	17.8920926996342	17.9847174806192	18.2359782495689	17.3559754499837	17.7832993247404	17.0679721426266	19.601680173373	18.0139869400062	15.887916211354	16.4309364036355	19.62634290823	16.2667083260569	18.6629378785782	17.7088480778753	18.1622359309451	16.3022286541304	16.9880138021341
